"Year","Authors"
2014,"Yue, Chengyan ; Gallardo, K ; Luby, J J. ; Rihn, A L. ; McFerson, J R. ; McCracken, V ; Gradziel, Tom ; Gasic, K ; Reighard, Gregory L.regory L. ; Clark, John ; Iezzoni, A"
2010,"Kamara, Alpha Yaya ; Ellis-Jones, Jim ; Ekeleme, Friday ; Omoigui, Lucky ; Amaza, P. ; Chikoye, David ; Dugje, IY"
2012,"Were, W. V. ; Shanahan, P. ; Melis, R. ; Omari, O. O."
2014,"Yue, Chengyan ; Gallardo, K ; Luby, J J. ; Rihn, A L. ; McFerson, J R. ; McCracken, V ; Oraguzie, Nnadozie ; Weebadde, Cholaniholani ; Sebolt, A ; Iezzoni, A"
2021,"Leon, Lorenzo ; de la Rosa, Raul ; Arriaza, Manuel"
2018,"Bruno, Awio ; Katungi, Enid ; Nkalubo, Stanley ; Mukankusi, Clare ; Maxwell, Malinga G. ; Paul, Gibson ; Rubaihayo, P.R. ; Richard, Edema"
2020,"Marimo, P.ricilla ; Caron, Cynthia ; Van den Berg, I. ; Crichton, Rhiannon ; Weltzien, E... ; Ortiz, Rodomiro ; Tumuhimbise, R"
2017,"Long, L. E. ; Kaiser, C. ; Brewer, L. J."
2022,"Nigus, M. ; Shimelis, H ; Mathew, I. ; Abady, S."
2022,"Njuguna-Mungai, E. ; Omondi, I. ; GaliÃ¨, A. ; Jumba, H. ; Derseh, M. ; Paul, B.K. ; Zenebe, M. ; Juma, A. ; Duncan, A."
2021,"Gebreyohannes, A. ; Shimelis, H ; Laing, M.... ; Mathew, I. ; Odeny, D.A. ; Ojulong, H."
2021,"Voss, R.C. ; Donovan, J. ; Rutsaert, P. ; Cairns, J.E."
2021,"Nchanji, E. ; Lutomia, C.K. ; Ageyo, O.C. ; Karanja, D. ; Kamau, E."
2021,"TchokponhouÃ©, D.A. ; Achigan-Dako, E.G. ; Nâ€™Danikou, S. ; Nyadanu, D. ; Kahane, R. ; Odindo, A.O. ; Sibiya, J."
2021,"Mutari, B. ; Sibiya, J. ; Bogweh Nchanji, E. ; Simango, K. ; Gasura, E."
2021,"Teklu, D.H. ; Shimelis, H ; Tesfaye, A. ; Abady, S."
2021,"Sewenet, H.K. ; Anley, A.M. ; Getie, M.A."
2021,"Thiele, G.. ; Dufour, D ; Vernier, P. ; Mwanga, R. O. M. ; Parker, M.L. ; Schulte-Geldermann, Elmar ; Teeken, B. ; Wossen, T. ; Gotor, E. ; Kikulwe, E. ; Tufan, H. ; Sinelle, S. ; Kouakou, A.M. ; Friedmann, M. ; Polar, V. ; Hershey, C."
2021,"Andiku, C. ; Shimelis, H ; Laing, M.... ; Shayanowako, A ; Adrogu Ugen, M. ; Manyasa, E. ; Ojiewo, C."
2021,"Ewell, H. ;"
2020,"Tegbaru, A. ; Menkir, A. ; Nasser Baco, M. ; Idrisou, L. ; Sissoko, D. ; Eyitayo, A.O. ; Abate, T. ; Tahirou, A."
2020,"Mafouasson, H.N.A. ; Kenga, R. ; Gracen, V ; Ntsomboh-Ntsefong, G. ; Tandzi, L.N. ; Tata Ngome, P.I."
2020,"Tigist, S.G. ; Melis, R. ; Sibiya, J. ; Amelework, B. ; Keneni, G."
2020,"Loko, Y.L.E. ; Montcho, D. ; Zandjanakou-Tachin, M. ; Orobiyi, A. ; Toffa, J. ; Hounmakou, E. ; Gavoedo, D. ; Dansi, A."
2020,"Buah, S.S.J. ; Denwar, N.N. ; Kanton, R.A.L. ; Kombiok, J.M."
2020,"Shumbusha, D. ; Shimelis, H ; Laing, M.... ; Rukundo, P."
2020,"Suvi, W.T. ; Shimelis, H ; Laing, M...."
2020,"Coulibaly, M. ; Agossou, C.O.A. ; AkohouÃ©, F. ; Sawadogo, M. ; Achigan-Dako, E.G."
2019,"Yadav, R.K. ; Gurung, R. ; Dhakal, R. ; Adhikari, A.R. ; Gautam, S. ; Ghimire, K.H. ; Sthapit, B.R."
2019,"Drabo, I. ; Zangre, R.G..G. ; Danquah, E. ; Ofori, K. ; Witcombe, J.R. ; Hash, C.T.O.M."
2019,"Abady, S. ; Shimelis, H ; Janila, P."
2019,"Mengistu, DK. ; Shimelis, H ; Laing, M.... ; Lule, D."
2019,"Esuma, W. ; Nanyonjo, RA ; Miiro, R. ; Angudubo, S. ; Kawuki, R.S."
2019,"AkohouÃ©, F. ; Sibiya, J. ; Achigan-Dako, E.G."
2018,"Banla, E.M. ; Dzidzienyo, D.K. ; Beatrice, I.E. ; Offei, S.K. ; Tongoona, P... ; Desmae, H."
2018,"Daudi, H. ; Shimelis, H ; Laing, M.... ; Okori, P. ; Mponda, O."
2018,"Timsina, K.P. ; Shivakoti, G.P."
2018,"Kagimbo, F. ; Shimelis, H ; Sibiya, J."
2018,"Gallardo, R.K. ; Klingthong, P. ; Zhang, Q. ; Polashock, J. ; Atucha, A. ; Zalapa, J. ; Rodriguez-Saona, C. ; Vorsa, N. ; Iorizzo, M."
2018,"Bammite, D. ; Matthews, P.J. ; Dagnon, D.Y. ; Agbogan, A. ; Odah, K. ; Dansi, A. ; Tozo, K."
2017,"Ayenan, M.A.T. ; Ofori, K. ; Ahoton, L.E. ; Danquah, A."
2017,"Kassie, G.T. ; Abdulai, A. ; Greene, W.H. ; Shiferaw, B. ; Abate, T. ; Tarekegne, A. ; Sutcliffe, C."
2017,"Steinke, J. ; Van Etten, J."
